2025-07-07 15:26:17,481 - INFO - Token: <LET, let, Linha 99, Coluna 4>
2025-07-07 15:26:17,481 - INFO - Token: <VAR, condicao2, Linha 99, Coluna 8>
2025-07-07 15:26:17,482 - INFO - Token: <POINT2, :, Linha 99, Coluna 17>
2025-07-07 15:26:17,482 - INFO - Token: <INT_TYPE, int, Linha 99, Coluna 19>
2025-07-07 15:26:17,482 - INFO - Token: <EQUALS, =, Linha 99, Coluna 23>
2025-07-07 15:26:17,483 - INFO - Token: <INT, 0, Linha 99, Coluna 25>
2025-07-07 15:26:17,483 - INFO - Token: <LET, let, Linha 101, Coluna 4>
2025-07-07 15:26:17,483 - INFO - Token: <VAR, e_logico, Linha 101, Coluna 8>
2025-07-07 15:26:17,484 - INFO - Token: <POINT2, :, Linha 101, Coluna 16>
2025-07-07 15:26:17,484 - INFO - Token: <INT_TYPE, int, Linha 101, Coluna 18>
2025-07-07 15:26:17,484 - INFO - Token: <EQUALS, =, Linha 101, Coluna 22>
2025-07-07 15:26:17,485 - INFO - Token: <VAR, condicao1, Linha 101, Coluna 24>
2025-07-07 15:26:17,485 - INFO - Token: <AND, &&, Linha 101, Coluna 34>
2025-07-07 15:26:17,485 - INFO - Token: <VAR, condicao2, Linha 101, Coluna 37>
2025-07-07 15:26:17,486 - INFO - Token: <LET, let, Linha 102, Coluna 4>
2025-07-07 15:26:17,486 - INFO - Token: <VAR, ou_logico, Linha 102, Coluna 8>
2025-07-07 15:26:17,486 - INFO - Token: <POINT2, :, Linha 102, Coluna 17>
2025-07-07 15:26:17,486 - INFO - Token: <INT_TYPE, int, Linha 102, Coluna 19>
2025-07-07 15:26:17,487 - INFO - Token: <EQUALS, =, Linha 102, Coluna 23>
2025-07-07 15:26:17,487 - INFO - Token: <VAR, condicao1, Linha 102, Coluna 25>
2025-07-07 15:26:17,487 - INFO - Token: <OR, ||, Linha 102, Coluna 35>
2025-07-07 15:26:17,487 - INFO - Token: <VAR, condicao2, Linha 102, Coluna 38>
